x-axis,1,EXT
second,Volt,
+25.15000E-03,+3.24341702E+00,1
+25.20000E-03,+3.23211049E+00,1
+25.25000E-03,+3.20321602E+00,1
+25.30000E-03,+3.20321602E+00,1
+25.35000E-03,+3.20321602E+00,1
+25.40000E-03,+3.23211049E+00,1
+25.45000E-03,+3.20321602E+00,1
+25.50000E-03,+3.23462305E+00,1
+25.55000E-03,+3.20321602E+00,1
+25.60000E-03,+2.87030145E+00,1
+25.65000E-03,+48.69344E-03,1
+25.70000E-03,+36.13062E-03,1
+25.75000E-03,+67.53766E-03,1
+25.80000E-03,+67.53766E-03,1
+25.85000E-03,+67.53766E-03,1
+25.90000E-03,+58.74369E-03,1
+25.95000E-03,+68.79394E-03,1
+26.00000E-03,+3.24341702E+00,1
+26.05000E-03,+3.20321602E+00,1
+26.10000E-03,+3.20321602E+00,1
+26.15000E-03,+3.20447230E+00,1
+26.20000E-03,+3.21452255E+00,1
+26.25000E-03,+3.22457280E+00,1
+26.30000E-03,+3.21200999E+00,1
+26.35000E-03,+3.20321602E+00,1
+26.40000E-03,+3.23211049E+00,1
+26.45000E-03,+3.22206024E+00,1
+26.50000E-03,+3.23462305E+00,1
+26.55000E-03,+3.20321602E+00,1
+26.60000E-03,+3.21452255E+00,1
+26.65000E-03,+3.18185923E+00,1
+26.70000E-03,+3.20321602E+00,1
+26.75000E-03,+106.48238E-03,1
+26.80000E-03,+85.12560E-03,1
+26.85000E-03,+48.69344E-03,1
+26.90000E-03,+67.53766E-03,1
+26.95000E-03,+28.59293E-03,1
+27.00000E-03,+67.53766E-03,1
+27.05000E-03,+67.53766E-03,1
+27.10000E-03,+3.20321602E+00,1
+27.15000E-03,+3.20321602E+00,1
+27.20000E-03,+3.20321602E+00,1
+27.25000E-03,+3.18185923E+00,1
+27.30000E-03,+3.20321602E+00,1
+27.35000E-03,+3.20321602E+00,1
+27.40000E-03,+3.21452255E+00,1
+27.45000E-03,+3.20321602E+00,1
+27.50000E-03,+3.20321602E+00,1
+27.55000E-03,+3.20321602E+00,1
+27.60000E-03,+3.20321602E+00,1
+27.65000E-03,+3.22206024E+00,1
+27.70000E-03,+3.16301501E+00,1
+27.75000E-03,+3.20321602E+00,1
+27.80000E-03,+3.17432154E+00,1
+27.85000E-03,+88.89444E-03,1
+27.90000E-03,+58.74369E-03,1
+27.95000E-03,-10.35179E-03,1
+28.00000E-03,+27.33665E-03,1
+28.05000E-03,+48.69344E-03,1
+28.10000E-03,+67.53766E-03,1
+28.15000E-03,+66.28138E-03,1
